MOVIE_KEY,tag
M60756,funny
M60756,Highly quotable
M60756,will ferrell
M89774,Boxing story
M89774,MMA
M89774,Tom Hardy
M106782,drugs
M106782,Leonardo DiCaprio
M106782,Martin Scorsese
M48516,way too long
M431,Al Pacino
M431,gangster
M431,mafia
M1221,Al Pacino
M1221,Mafia
M5995,holocaust
M5995,true story
M44665,twist ending
M52604,Anthony Hopkins
M52604,courtroom drama
M52604,twist ending
M88094,britpop
M88094,indie record label
M88094,music
M144210,dumpster diving
M144210,Sustainability
M1569,romantic comedy
M1569,wedding
M118985,painter
M119141,bloody
M109487,black hole
M109487,sci-fi
M109487,time-travel
M2,fantasy
M2,magic board game
M2,Robin Williams
M110,beautiful scenery
M110,epic
M110,historical
M110,inspirational
M110,Medieval
M110,mel gibson
M110,Oscar (Best Cinematography)
M110,revenge
M110,sword fight
M410,black comedy
M410,Christina Ricci
M410,Christopher Lloyd
M410,dark comedy
M410,family
M410,gothic
M2023,Al Pacino
M2023,Andy Garcia
M2023,Classic
M2023,Francis Ford Coppola
M2023,mafia
M2124,black comedy
M2124,Christina Ricci
M2124,Christopher Lloyd
M2124,Family
M2124,gothic
M2124,quirky
M2953,family
M2953,funny
M2953,Macaulay Culkin
M2953,sequel
M3114,animation
M3114,Disney
M3114,funny
M3114,original
M3114,Pixar
M3114,sequel
M3114,Tom Hanks
M3578,ancient Rome
M3578,Epic
M3578,history
M3578,imdb top 250
M3578,revenge
M3578,Rome
M3578,Russell Crowe
M4223,Ed Harris
M4223,Jude Law
M4223,Rachel Weisz
M4223,sniper
M4223,World War II
M5388,Al Pacino
M5388,atmospheric
M5388,Hilary Swank
M5388,Robin Williams
M6058,sequel
M6058,violent
M6534,dogs
M6534,Eric Bana
M6534,mad scientist
M6534,marvel
M6541,captain nemo
M6541,comic book
M6541,gothic
M6541,Peta Wilson
M6541,Sean Connery
M6541,superhero
M6564,adventure
M6564,Angelina Jolie
M6564,heroine in tight suit
M7153,Adventure
M7153,ensemble cast
M7153,fantasy
M7153,fantasy world
M7153,great soundtrack
M7153,lord of the rings
M7153,scenic
M7153,stylized
M7153,Tolkien
M8641,hilarious
M8641,Steve Carell
M8641,Will Ferrell
M27660,animation
M27660,anime
M27660,cyberpunk
M27660,dark
M27660,Matrix
M27660,sci-fi
M27706,dark comedy
M27706,Jim Carrey
M27706,meryl streep
M27706,quirky
M27706,stylized
M27808,Adam Sandler
M27808,family
M27808,sweet
M27831,British gangster
M27831,confusing
M27831,daniel craig
M27831,Exquisite plotting.
M27831,organized crime
M27831,stylish
M27831,Tom Hardy
M31658,anime
M31658,fantasy world
M31658,Hayao Miyazaki
M31658,Studio Ghibli
M33162,David Thewlis
M33162,Eva Green
M33162,Liam Neeson
M33162,Orlando Bloom
M34150,Chris Evans
M34150,comic book
M34150,heroine in tight suit
M34150,Jessica Alba
M34150,sexy female scientist
M34150,superhero
M37729,gothic
M37729,helena bonham carter
M37729,Johnny Depp
M37729,Tim Burton
M37729,visually appealing
M38061,black comedy
M38061,clever
M38061,fast-paced dialogue
M38061,good dialogue
M38061,Robert Downey Jr.
M38061,witty
M45447,adventure
M45447,Audrey Tautou
M45447,conspiracy theory
M45447,Mystery
M45447,Paris
M45447,Tom Hanks
M45447,treasure hunt
M46723,Brad Pitt
M46723,cate blanchett
M46723,multiple storylines
M46723,social commentary
M46972,Ben Stiller
M46972,Robin Williams
M46976,emma thompson
M46976,Maggie Gyllenhaal
M46976,modern fantasy
M46976,romance
M46976,surreal
M46976,Will Ferrell
M49130,Marion Cotillard
M49530,Africa
M49530,corruption
M49530,Jennifer Connelly
M49530,justice
M49530,Leonardo DiCaprio
M53464,bad acting
M53464,bad jokes
M53464,bad plot
M53464,Chris Evans
M53464,Jessica Alba
M53464,Marvel
M53464,sexy female scientist
M58047,Rachel Weisz
M58047,Ryan Reynolds
M59501,fantasy
M59501,lion
M59501,narnia
M59501,Tilda Swinton
M60074,bad script
M60074,Charlize Theron
M60074,Will Smith
M60126,Anne Hathaway
M60126,Steve Carell
M60756,comedy
M60756,funny
M60756,will ferrell
M61024,comedy
M61024,James Franco
M61024,Seth Rogen
M61024,Stoner Movie
M63992,audience intelligence underestimated
M63992,boring
M63992,chick flick
M63992,overrated
M63992,Teen movie
M68848,Adrien Brody
M68848,con artists
M68848,funny
M68848,interesting characters
M68848,Mark Ruffalo
M68848,Rachel Weisz
M71535,Bill Murray
M71535,dark comedy
M71535,Emma Stone
M71535,funny
M71535,Jesse Eisenberg
M71535,Woody Harrelson
M87430,audience intelligence underestimated
M87430,CGI
M87430,cheesy
M87430,comic book
M87430,DC
M87430,DC Comics
M87430,Ryan Reynolds
M87430,space
M87430,superhero
M88405,comedy
M88405,funny
M88405,happy ending
M88405,HOT actress
M88405,Justin Timberlake
M88405,Mila Kunis
M88405,New York City
M88405,romance
M88405,sex
M96861,Istanbul
M96861,Liam Neeson
M96861,predictable
M96861,Turkey
M96861,unnecessary sequel
M99114,action
M99114,Christoph Waltz
M99114,funny
M99114,good soundtrack
M99114,Great performances
M99114,Humour
M99114,Leonardo DiCaprio
M99114,Quentin Tarantino
M99114,Samuel L. Jackson
M99114,Soundtrack
M99114,western
M103042,Amy Adams
M103042,superhero
M104863,daniel radcliffe
M104863,zoe kazan
M107348,comedy
M107348,Steve Carell
M107348,stupid but funny
M107348,will ferrell
M108190,anti-intellectual
M108190,bad writing
M108190,dystopia
M108190,new society
M108190,plot holes
M108190,predictable
M108190,scifi
M108190,unintelligent
M111743,Charlize Theron
M111743,Liam Neeson
M111743,Seth MacFarlane
M111743,witty
M114180,action
M114180,dystopia
M114180,plot holes
M114180,post-apocalyptic
M114180,survival
M114180,thriller
M114180,unexplained
M114180,weak plot
M115149,dark hero
M115149,gun-fu
M115149,Keanu Reeves
M115149,Revenge
M115149,secret society
M115149,stylish
M116897,black comedy
M116897,dark comedy
M116897,dark humor
M116897,ironic
M116897,multiple short stories
M116897,short stories
M119141,bromance
M119141,comedy
M119141,funny
M119141,James Franco
M119141,Seth Rogen
M122912,comic book
M122912,Dr. Strange
M122912,Great villain
M122912,Guardians of the Galaxy
M122912,Marvel
M122912,MCU
M122912,Robert Downey Jr.
M122912,Thanos
M122912,Thor
M122912,Visually stunning
M128360,characters
M128360,Dialogue
M128360,humor
M128360,Kurt Russell
M128360,Quentin Tarantino
M128360,Samuel L. Jackson
M128360,tension building
M128360,violent
M128360,Western
M135133,dystopia
M135133,Jennifer Lawrence
M135133,love story
M135133,nonsense
M135133,politics
M135133,rebellion
M135133,revolution
M135518,Ben Kingsley
M135518,ethics
M135518,immortality
M135518,ryan reynolds
M135536,Bad story
M135536,Bad writing
M135536,Batman
M135536,Ben Affleck
M135536,comic book
M135536,dc comics
M135536,good soundtrack
M135536,Harley Quinn
M135536,Harley Quinn's ass
M135536,Horrible directing
M135536,Jared Leto
M135536,Joker
M135536,lack of plot
M135536,Margot Robbie
M135536,Poor story
M135536,poorly paced
M135536,superhero
M135536,visually appealing
M135536,Will Smith
M136864,action
M136864,batman
M136864,ben affleck
M136864,dark
M136864,dc comics
M136864,Gal Gadot
M136864,superhero
M136864,superman
M136864,wonderwoman
M139385,leonardo DiCarpio
M139385,survival
M139385,tom hardy
M139385,visually appealing
M158966,building a family
M158966,creative
M158966,freedom
M158966,good writing
M158966,individualism
M158966,Viggo Mortensen
M168248,action
M168248,dark hero
M168248,gun tactics
M168248,hitman
M168248,Keanu Reeves
M168248,organized crime
M168248,secret society
M174053,Dystopia
M174053,future
M174053,interesting
M174053,jon hamm
M174053,thought provoking
M179401,Action
M179401,Comedy
M179401,Dwayne Johnson
M179401,funny
M183611,Comedy
M183611,funny
M183611,Rachel McAdams
M184471,adventure
M184471,Alicia Vikander
M184471,video game adaptation
M187593,Josh Brolin
M187593,Ryan Reynolds
M187593,sarcasm
M187595,Emilia Clarke
M187595,star wars
M260,classic
M260,space action
M260,action
M260,sci-fi
M260,EPIC
M260,great soundtrack
M296,good dialogue
M296,great soundtrack
M296,non-linear
M4896,Everything you want is here
M106489,adventure
M260,classic sci-fi
M260,engrossing adventure
M260,EPIC
M260,classic
M260,Nerd
M101142,animation
M101142,funny
M101142,stone age
M115149,action
M115149,killer
M115149,widows/widowers
M115617,animation
M115617,kids
M115617,robots
M120635,action
M120635,murder
M120635,police
M1726,Kevin Costner
M1726,Post apocalyptic
M2387,dark comedy
M2387,dark humor
M3052,irreverent
M3052,jay and silent bob
M3052,Kevin Smith
M3052,satire
M5088,irreverent
M7022,based on a book
M7022,bloody
M7022,brutal
M7022,controversial
M7022,dystopia
M7022,goretastic
M7022,satire
M7022,social commentary
M7022,survival
M7022,violence
M7254,alternate reality
M7254,sci-fi
M7254,science fiction
M7254,time travel
M8957,brutal
M8957,clever
M8957,Disturbing
M8957,great ending
M8957,mindfuck
M8957,surprise ending
M8957,suspense
M9010,cruel characters
M42632,brutality
M58301,dark humor
M60950,threesome
M62434,Seth Rogen
M62434,Sexual Humor
M67695,Seth Rogen
M100083,embarassing scenes
M100083,offensive
M100083,R language
M100083,sarcasm
M100083,satire
M156371,80's
M158872,Crude humor
M158872,mindfuck
M158872,sarcasm
M158872,satire
M158872,Vulgar
M3556,sofia coppola
M6323,John Cusack
M6367,Ewan McGregor
M6367,Renee Zellweger
M59103,jackie chan
M59103,kung fu
M52287,Something for everyone in this one... saw it without and plan on seeing it with kids!
M293,assassin
M293,Jean Reno
M54286,assassin
M54286,assassin-in-training (scene)
M54286,espionage
M54286,Robert Ludlum
M104,test tag
M115617,feel-good
M115617,fun family movie
M115617,very funny
M2579,black and white
M2579,Christopher Nolan
M2579,directorial debut
M2579,mindfuck
M2579,not linear
M2579,Twist Ending
M3793,action
M3793,comic book
M3793,hugh jackman
M3793,marvel
M3793,superhero
M4226,dark
M4226,Mindfuck
M4226,nonlinear
M4226,psychology
M4226,twist ending
M4896,alan rickman
M4896,harry potter
M4896,humorous
M4896,Magic
M5388,atmospheric
M5388,insomnia
M5388,thought-provoking
M6283,amazing artwork
M6283,anime
M6283,sci-fi
M27156,anime
M27156,end of the world
M27156,epic
M27156,mecha
M27156,psychology
M193565,anime
M193565,comedy
M193565,gintama
M193565,remaster
M260,classic sci-fi
M260,space action
M260,space epic
M4878,atmospheric
M4878,cult film
M4878,dreamlike
M4878,hallucinatory
M4878,psychological
M4878,surreal
M4878,time travel
M7147,dreamlike
M7147,sentimental
M7147,surreal
M7147,Tim Burton
M7361,alternate reality
M7361,memory
M7361,thought-provoking
M97938,cinematography
M97938,India
M97938,surreal
M260,oldie but goodie
M260,sci-fi
M260,Star Wars
M6938,big wave
M6938,surfing
M48780,ummarti2006
M126548,funny
M126548,high school
M68319,comic book
M7020,Notable Nudity
M3,moldy
M3,old
M527,moving
M1101,predictable
M50872,a clever chef rat
M50872,inspirational
M102007,animation
M118696,hope
M6711,atmospheric
M4034,drugs
M4995,mathematics
M6502,zombies
M6953,DEPRESSING
M8641,stupid
M34405,predictable
M55721,Favelas
M83134,black comedy
M778,based on a book
M778,dark comedy
M778,narrated
M4612,reciprocal spectator
M4708,reciprocal spectator
M6400,documentary
M30892,Animation
M30892,Documentary
M30892,Henry Darger
M48698,the catholic church is the most corrupt organization in history
M64034,childish naivity
M64034,friendship
M68954,adventure
M68954,Bechdel Test:Fail
M68954,cartoon
M68954,children
M68954,computer animation
M68954,divorce
M68954,dogs
M68954,dreams
M68954,Pixar
M71494,Narrative pisstake
M81158,american idolatry
M82459,atmospheric
M82459,Coen Brothers
M82459,Jeff Bridges
M82459,Matt Damon
M82459,predictable
M90769,celebrity fetishism
M90769,mediacentralism
M90769,system holism
M96084,city politics
M96084,italy
M96084,political right versus left
M111364,Creature Feature
M118784,documentary
M118784,music industry
M118784,remix culture
M127172,film history
M127172,poetic
M127172,representation of children
M364,Disney
M364,Disney animated feature
M364,Oscar (Best Music - Original Score)
M1288,music
M1923,Ben Stiller
M2616,comic book
M3481,music
M3897,music
M8641,awesome
M51255,british comedy
M1,pixar
M153,superhero
M552,knights
M1246,highschool
M32587,cult
M33660,boksdrama
M34162,stiller
M36529,wapendrama
M37729,animation
M38798,sisters
M260,ROBOTS AND ANDROIDS
M260,space
M2146,post-college
M37384,restaurant
M40955,transvestite
M44889,satire
M61323,dark comedy
M39,chick flick
M39,funny
M39,Paul Rudd
M39,quotable
M39,seen more than once
M1059,Amazing Cinematography
M1059,Leonardo DiCaprio
M1059,shakespeare
M1059,updated classics
M2762,Atmospheric
M2762,Bruce Willis
M2762,ghosts
M2762,imdb top 250
M2762,mindfuck
M2762,stylized
M2762,twist ending
M4370,android(s)/cyborg(s)
M4370,artificial intelligence
M4370,Bittersweet
M4370,Steven Spielberg
M5464,cinematography
M5464,Tom Hanks
M7078,Bette Davis
M7078,Oscar (Best Actress)
M7444,Mark Ruffalo
M7451,clever
M7451,High School
M7451,lesbian subtext
M48516,Leonardo DiCaprio
M48516,suspense
M48516,twist ending
M48516,undercover cop
M54997,Christian Bale
M55290,Casey Affleck
M55290,great performances
M55290,twist
M91500,ending
M91529,Anne Hathaway
M91529,Christian Bale
M91529,Christopher Nolan
M91529,comic book
M91529,great ending
M91529,Morgan Freeman
M91529,political commentary
M91529,superhero
M98961,Afghanistan
M98961,American propaganda
M98961,assassination
M98961,military
M98961,terrorism
M32,time travel
M47,mystery
M47,twist ending
M50,mindfuck
M50,suspense
M50,thriller
M50,tricky
M50,twist ending
M147,addiction
M147,heroin
M147,Leonardo DiCaprio
M147,Mark Wahlberg
M175,controversial
M175,New York City
M175,Nudity (Full Frontal)
M223,cynical
M223,hilarious
M223,independent film
M223,quirky
M223,witty
M260,classic sci-fi
M260,sci-fi
M260,space adventure
M260,Star Wars
M288,brutality
M288,controversial
M288,dark comedy
M288,psychedelic
M288,satire
M288,stylized
M296,cult film
M296,drugs
M296,Quentin Tarantino
M296,Tarantino
M364,soundtrack
M527,thought-provoking
M541,sci-fi
M589,apocalypse
M589,Arnold Schwarzenegger
M589,nuclear war
M589,sci-fi
M589,Suspense
M589,time travel
M608,based on a true story
M608,dark comedy
M608,KIDNAPPING
M608,Steve Buscemi
M628,edward norton
M628,psychology
M628,suspense
M628,thought-provoking
M628,twist ending
M1089,ensemble cast
M1089,nonlinear
M1089,Quentin Tarantino
M1089,stylized
M1120,freedom of expression
M1136,british comedy
M1136,Monty Python
M1193,emotional
M1193,jack nicholson
M1198,adventure
M1198,archaeology
M1198,indiana jones
M1198,Steven Spielberg
M1198,treasure hunt
M1200,action
M1200,aliens
M1200,horror
M1200,sci-fi
M1200,space
M1200,space craft
M1200,SPACE TRAVEL
M1200,suspense
M1219,Alfred Hitchcock
M1219,psychology
M1219,suspenseful
M1219,tense
M1240,Action
M1240,artificial intelligence
M1240,robots
M1240,Sci-Fi
M1240,special effects
M1240,tense
M1240,time travel
M1258,atmospheric
M1258,disturbing
M1258,Horror
M1258,jack nicholson
M1258,masterpiece
M1258,psychological
M1258,Stanley Kubrick
M1258,suspense
M1343,horror
M1343,Juliette Lewis
M1343,Martin Scorsese
M1343,Robert De Niro
M1625,mindfuck
M1625,Mystery
M1625,plot twist
M1625,psychological
M1625,suspense
M1625,twist ending
M1704,inspirational
M1921,hallucinatory
M1921,mental illness
M1921,mindfuck
M1921,paranoid
M1923,Ben Stiller
M1923,crude humor
M1923,goofy
M2160,Atmospheric
M2160,creepy
M2160,paranoia
M2160,scary
M2160,suspense
M2296,SNL
M2329,thought-provoking
M2505,Nicolas Cage
M2571,martial arts
M2571,sci-fi
M2700,adult humor
M2700,controversial
M2700,crude humor
M2700,free speech
M2700,parody
M2700,satire
M2700,south park
M2700,Trey Parker
M2959,dark comedy
M2959,psychology
M2959,thought-provoking
M2959,twist ending
M3176,based on a book
M3176,creepy
M3176,disturbing
M3176,Jude Law
M3176,murder
M3176,obsession
M3176,psychology
M3176,secrets
M3176,serial killer
M3176,suspense
M3186,asylum
M3186,based on a true story
M3186,Brittany Murphy
M3186,Mental Hospital
M3186,psychology
M3186,winona ryder
M3499,claustrophobic
M3499,horror
M3499,scary
M3499,stephen king
M3499,suspenseful
M3499,tense
M3499,thriller
M3527,aliens
M3527,sci-fi
M3527,scifi cult
M3911,satire
M3948,comedy
M3948,Robert De Niro
M4226,mystery
M4226,psychological
M4226,twist ending
M4262,Al Pacino
M4816,ben stiller
M4816,comedy
M4816,David Bowie
M4816,goofy
M4816,mindless one liners
M4816,Will Ferrell
M4878,jake gyllenhaal
M4993,fantasy
M4993,high fantasy
M4993,Magic
M4993,mythology
M4993,tolkien
M4993,wizards
M5291,black and white
M5291,samurai
M6016,multiple storylines
M6016,true story
M6188,comedy
M6188,Will Ferrell
M6290,Rob Zombie
M7361,jim carrey
M8641,comedy
M8641,Will Ferrell
M8950,Christian Bale
M8950,creepy
M8950,powerful ending
M8950,psychology
M8950,schizophrenia
M8950,twist ending
M27020,drugs
M27020,lesbian
M30825,Ben Stiller
M30825,Robert De Niro
M34323,Rob Zombie
M40278,Jake Gyllenhaal
M40278,Modern war
M48516,atmospheric
M48516,Jack Nicholson
M48516,Leonardo DiCaprio
M48516,Martin Scorsese
M48516,suspense
M53127,based on a play
M53127,conspiracy theory
M53127,creepy
M53127,Insanity
M53127,paranoia
M53127,PTSD
M60756,funny
M60756,will ferrell
M66097,claymation
M66097,creepy
M66097,dark
M66097,dark fairy tale
M66097,Surreal
M66097,Tim Burton
M68157,black comedy
M68157,Brad Pitt
M68157,Christoph Waltz
M68157,Quentin Tarantino
M68157,satire
M74458,insanity
M74458,Leonardo DiCaprio
M74458,Martin Scorsese
M74458,plot twist
M74458,psychological
M74458,Psychological Thriller
M74458,thought-provoking
M79132,action
M79132,alternate reality
M79132,Leonardo DiCaprio
M79132,sci-fi
M79132,thought-provoking
M79132,visually appealing
M81562,stranded
M81591,alter ego
M81591,atmospheric
M81591,creepy
M81591,horror
M81591,obsession
M81591,surreal
M102903,illusions
M102903,overcomplicated
M102903,predictable
M102903,stupid ending
M104879,absorbing
M104879,acting
M104879,atmospheric
M104879,Hugh Jackman
M104879,Jake Gyllenhaal
M104879,morality
M104879,mystery
M104879,thriller
M106100,Jared Leto
M106100,social commentary
M106100,uplifting
M106489,fantasy
M106489,Tolkien
M106489,too long
M109487,Christopher Nolan
M109487,sci-fi
M109487,time-travel
M112515,atmospheric
M112515,dark
M112515,Metaphorical
M112515,psychological
M112556,annoying
M112556,Stupid ending
M750,dark comedy
M2959,dark comedy
M58559,psychology
M58559,superhero
M5952,Myth
M98809,Action
M98809,Myth
M152711,Cambodia
M152711,crime
M152711,human rights
M152711,murder
M152711,procedural
M1,pixar
M2,game
M5,pregnancy
M5,remake
M7,remake
M11,politics
M11,president
M14,politics
M14,president
M16,Mafia
M17,Jane Austen
M21,Hollywood
M22,serial killer
M25,alcoholism
M26,Shakespeare
M28,In Netflix queue
M28,Jane Austen
M29,kidnapping
M31,high school
M31,teacher
M32,time travel
M34,Animal movie
M34,pigs
M36,death penalty
M36,Nun
M38,twins
M39,Emma
M39,Jane Austen
M40,In Netflix queue
M40,South Africa
M41,Shakespeare
M43,England
M45,Journalism
M46,wedding
M47,serial killer
M50,heist
M52,adoption
M52,prostitution
M58,writing
M62,music
M92,Jekyll and Hyde
M96,theater
M101,crime
M104,golf
M107,muppets
M110,Scotland
M111,assassination
M116,Holocaust
M122,dating
M140,journalism
M150,moon
M150,NASA
M150,space
M153,superhero
M160,Michael Crichton
M161,submarine
M162,In Netflix queue
M185,computers
M199,Made me cry
M215,generation X
M216,school
M222,Ireland
M223,generation X
M224,mental illness
M224,psychology
M230,Stephen King
M232,In Netflix queue
M235,movie business
M237,basketball
M237,France
M237,infertility
M246,basketball
M247,Australia
M249,Beethoven
M252,Einstein
M257,court
M260,darth vader
M260,luke skywalker
M260,space opera
M261,Louisa May Alcott
M262,England
M262,Girl Power
M262,India
M272,England
M272,mental illness
M277,Christmas
M279,In Netflix queue
M280,prison
M282,disability
M282,twins
M290,In Netflix queue
M293,hit men
M296,hit men
M300,TV
M307,Death
M308,marriage
M316,time travel
M317,Christmas
M318,prison
M318,Stephen King
M318,wrongful imprisonment
M326,In Netflix queue
M329,Enterprise
M337,mental illness
M338,serial killer
M339,coma
M342,Australia
M342,weddings
M345,cross dressing
M345,men in drag
M345,remade
M349,Tom Clancy
M350,John Grisham
M351,interracial romance
M356,shrimp
M356,Vietnam
M357,wedding
M361,gambling
M363,Holocaust
M363,In Netflix queue
M364,Disney
M371,journalism
M377,bus
M380,spies
M381,alcoholism
M412,Edith Wharton
M421,horses
M425,mental illness
M425,Oscar (Best Actress)
M440,President
M454,John Grisham
M457,based on a TV show
M471,hula hoop
M474,assassination
M475,Ireland
M477,biopic
M480,Dinosaur
M488,Japan
M488,sexuality
M497,Shakespeare
M500,cross dressing
M500,divorce
M500,men in drag
M508,AIDs
M513,radio
M513,show business
M515,Butler
M515,Housekeeper
M516,military
M522,Australia
M522,racism
M522,violence
M524,football
M527,Holocaust
M529,chess
M531,In Netflix queue
M534,C.S. Lewis
M535,large cast
M538,race
M539,Empire State Building
M541,robots
M543,beat poetry
M551,Christmas
M551,Halloween
M556,politics
M562,adolescence
M586,christmas
M587,overrated
M588,Disney
M589,robots
M590,American Indians
M590,Native Americans
M592,superhero
M593,Hannibal Lector
M594,Disney
M595,Disney
M596,Disney
M597,prostitution
M608,Coen Brothers
M616,Disney
M628,priest
M638,babies
M647,Gulf War
M648,based on a TV show
M668,India
M670,India
M671,spoof
M673,Bugs Bunny
M708,Veterinarian
M720,Aardman
M728,In Netflix queue
M733,Alcatraz
M736,Disaster
M745,Aardman
M748,aliens
M750,Atomic bomb
M778,drug abuse
M780,aliens
M800,In Netflix queue
M805,John Grisham
M818,based on a TV show
M830,adultery
M832,kidnapping
M838,Jane Austen
M852,golf
M858,Mafia
M892,Shakespeare
M898,divorce
M899,movie business
M900,France
M902,Capote
M903,falling
M904,voyeurism
M905,Screwball
M906,Brooch
